Rank,Name,ADP_Min,ADP_Max,Games,TOTAL,AST,FT,PTS,Threes,STL,BLK,FG,REB,TO,PG,SG,SF,PF,C
59,anthony edwards,50.4,54.4,78,0.1,0.2,-0,1.3,1.4,1.1,-0.3,-1.4,-0.2,-1.1,No,Yes,Yes,No,No
59,buddy hield,70.3,77.2,77,0.1,0.1,0.3,0.5,2.6,0.1,-0.6,-1.5,-0.3,-0.2,No,Yes,No,No,No
60,jarrett allen,64.6,76,77,0.1,-0.7,-1.7,-0.2,-1.6,-1.2,2,2.1,2.1,0.2,No,No,No,No,Yes
61,brook lopez,89.9,113.7,74,0.1,-1.2,0.3,-0.4,-0.2,-0.9,2.1,0.3,-0.1,1,No,No,No,No,Yes
62,collin sexton,54.2,67.2,76,0.1,0.6,1.1,1.7,0.1,0.7,-1,-0.2,-1,-1.1,Yes,Yes,No,No,No
62,kyle anderson,103.3,136.4,75,0.1,0.1,-0.2,-0.5,-0.4,1,0.3,-0.1,0.1,0.6,No,No,Yes,Yes,No
63,marcus smart,78.2,105.7,71,0.1,1.2,0.1,-0.3,0.4,1.9,-0.3,-1.2,-0.8,-0.2,Yes,Yes,No,No,No
64,pj washington,86.5,100,74,0.1,-0.4,-0.4,-0.2,0.2,0.5,1.2,-0.5,0.5,-0.1,No,No,No,Yes,Yes
65,nerlens noel,119.3,139.8,70,0.1,-1.2,-0.3,-1.6,-1.5,0.4,2.7,1,0.5,0.7,No,No,No,No,Yes
66,norman powell,89.9,100.6,77,0.1,-0.7,1.1,0.6,0.9,0.4,-0.7,-0.1,-1,0.1,No,Yes,Yes,No,No
67,darius garland,72.4,92.6,73,0.1,1.6,0.8,0.8,0.7,1.2,-1.1,-0.6,-1.2,-1.7,Yes,Yes,No,No,No
68,d angelo russell,75.3,76.1,70,0,1.4,-0.1,0.9,1.6,0.7,-0.5,-1.2,-1,-1.4,Yes,Yes,No,No,No
69,jamal murray,111.3,135.6,19,0,0.2,0.2,0.2,0.1,0.1,-0.2,0,-0.2,-0.1,Yes,Yes,No,No,No
70,russell westbrook,21.1,31,76,0,2.5,-1.6,0.9,-0.5,1.5,-0.7,-0.6,1.6,-2.8,Yes,No,No,No,No
71,caris levert,57,77.9,68,0,0.8,-0.1,0.7,0.1,1.2,-0.1,-1,-0.4,-0.9,No,Yes,Yes,No,No
72,evan fournier,106.4,122.7,73,0,-0,0.2,0.3,1,0.7,-0.4,-0.5,-1,-0.1,No,Yes,Yes,No,No
73,klay thompson,95.5,96.7,45,0,-0.4,0.2,0.4,0.9,-0.2,-0.2,-0.2,-0.5,0.2,No,Yes,No,No,No
74,ja morant,38.5,40.9,76,0,2.5,-0.5,1.3,0,0.4,-0.7,-0.4,-0.4,-2.1,Yes,No,No,No,No
74,kelly olynyk,103.1,132.6,75,0,-0.3,0.4,-0.5,0.1,0,-0.1,0.1,0.4,0,No,No,No,Yes,Yes
75,harrison barnes,102,110.8,75,0,-0,0.6,0.2,0.1,-0.7,-0.9,0.1,0.4,0.3,No,No,Yes,Yes,No
76,ben simmons,41.8,62.6,64,0,1.7,-2.8,-0,-1.3,2,-0.1,1.2,0.7,-1.3,Yes,No,No,No,No
77,saddiq bey,114.7,120.1,77,0,-0.8,0.5,0.2,1.6,-0.1,-0.9,-1.1,-0.2,0.8,No,No,Yes,No,No
78,thomas bryant,136.5,141.1,45,-0,-0.5,-0.4,-0.2,-0.5,-0.9,0.3,1.5,0.2,0.5,No,No,No,No,Yes
79,chuma okeke,135.9,140.8,68,-0,-0.3,-0.2,-0.7,-0.2,1.1,-0,-0.6,-0.1,0.9,No,No,No,Yes,No
80,daniel gafford,107.3,140.1,69,-0,-1.2,-1.3,-0.8,-1.5,-1,2.4,2.1,0.2,0.9,No,No,No,Yes,Yes
80,jae sean tate,NA,NA,77,-0,-0.2,-0.5,-0.5,-0.7,1.1,-0.3,0.5,0,0.4,No,No,Yes,No,No
80,larry nance,127.5,140.4,68,-0,-0.3,-0.6,-0.9,-0.5,1.3,-0.3,0.3,0.2,0.6,No,No,No,Yes,Yes
80,miles bridges,92.9,111.2,77,-0,-0.6,0.4,-0.4,0.2,-0.8,0.4,0.2,0.2,0.2,No,No,Yes,Yes,No
81,wendell carter,105.6,107.9,67,-0,-0.6,-0.6,-0.3,-1.2,-0.5,0.7,0.6,1.5,0.2,No,No,No,No,Yes
82,danny green,139.6,142.2,74,-0,-0.7,-0,-0.9,0.8,1,0,-0.7,-0.7,1,No,Yes,Yes,No,No
83,jordan clarkson,96.1,111.1,76,-0,-0.4,0.8,0.7,1.5,-0,-1,-1.3,-0.7,0.1,No,Yes,No,No,No
84,de andre hunter,123.5,139.6,70,-0,-0.6,0.8,0.1,0,-0.3,-0.4,-0.1,-0.3,0.5,No,No,Yes,Yes,No
84,keldon johnson,102.6,111.6,76,-0,-0.5,-0.5,0.4,-0.3,-0.1,-0.5,0.2,0.5,0.5,No,No,Yes,Yes,No
85,de anthony melton,140.4,148,70,-0,-0.1,-0,-0.7,0.3,1.3,-0.1,-0.6,-0.7,0.2,Yes,No,No,No,No
86,matisse thybulle,136.5,139.6,74,-0,-1,-0.4,-1.6,-0.8,2.6,1.3,-0.3,-1.4,1.2,No,No,Yes,No,No
87,joe harris,128.3,137.4,78,-0,-0.6,-0.1,-0.1,1.6,-0.8,-1,0.6,-0.8,0.8,No,Yes,Yes,No,No
88,mo bamba,130.9,139.5,68,-0.1,-1,-0.5,-0.8,-0.6,-1.3,2.2,0,0.7,0.8,No,No,No,No,Yes
89,cade cunningham,72,72.5,75,-0.1,0.8,0.7,0.4,0.4,1,-0.3,-1.2,0.1,-2.4,No,No,No,No,No
89,derrick favors,125.8,140.3,64,-0.1,-0.9,-0.4,-1,-1.4,-0.6,0.8,1.2,0.8,1,No,No,No,Yes,Yes
90,andrew wiggins,78.7,90.1,76,-0.1,-0.4,-0.9,0.4,0.3,-0.1,0.6,-0.2,-0.3,0.1,No,Yes,Yes,No,No
91,nicolas batum,140.5,141,71,-0.1,-0.3,0.1,-1,0,0.2,-0.1,-0.1,-0.3,1,No,Yes,Yes,Yes,No
92,t j  warren,125.9,135.2,54,-0.1,-0.7,0,0.4,-0.2,-0.7,-0.2,0.7,-0.4,0.5,No,No,Yes,No,No
93,joe ingles,115.9,132,74,-0.1,0.8,0.2,-0.5,1.1,-0.4,-0.9,-0.2,-0.8,0,No,Yes,Yes,Yes,No
93,reggie jackson,114.6,130.8,75,-0.1,0.7,0.4,0.1,1,-0.3,-1.1,-0.8,-0.8,0.1,Yes,No,No,No,No
93,t j  mcconnell,130.1,130.8,76,-0.1,1.5,-0.2,-1.2,-1.5,1.7,-0.9,0.8,-1,0.1,Yes,No,No,No,No
94,al horford,117.7,137.3,68,-0.1,-0.1,0,-0.8,-0.4,-0.7,0.4,-0.1,0,1,No,No,No,Yes,Yes
94,nickeil alexander walker,100,113.9,71,-0.1,-0.1,-0.4,0.1,0.7,0.9,-0.1,-0.9,-0.5,-0.4,No,Yes,No,No,No
95,josh hart,138.1,140.5,72,-0.1,-0.5,-0.2,-0.9,-0.1,0.1,-0.6,-0.4,1,0.8,No,Yes,Yes,No,No
96,lauri markkanen,104.8,128,68,-0.1,-0.9,0.3,-0,0.8,-0.9,-0.6,-0.2,0,0.6,No,No,No,Yes,No
97,thaddeus young,102,121.3,73,-0.1,0.3,-1,-0.5,-1.3,0.8,-0.1,1,0,-0.1,No,No,Yes,Yes,Yes
98,khem birch,140.7,142.4,74,-0.1,-0.7,-0.8,-0.8,-1.4,-0.4,1.2,0.4,0.2,1.2,No,No,No,No,Yes
99,dorian finney smith,140.7,145.5,76,-0.1,-0.8,-0.1,-0.9,0.4,-0.4,-0.4,0,0,1.1,No,No,Yes,Yes,No
