Rank,Name,ADP_Min,ADP_Max,Games,TOTAL,AST,FT,PTS,Threes,STL,BLK,FG,REB,TO,PG,SG,SF,PF,C
122,josh richardson,140.3,140.5,69,-0.2,-0.2,0.6,-0.5,-0.2,-0.1,-0.4,-0.7,-1,0.5,No,Yes,Yes,No,No
122,lamarcus aldridge,NA,NA,55,-0.2,-0.7,0.2,-0.6,-0.7,-1.2,0.3,0.2,-0.3,0.8,No,No,No,Yes,Yes
122,rj barrett,86.3,91.9,77,-0.2,-0,-0.6,0.7,0.2,-0.5,-0.7,-0.9,0.2,-0.4,No,Yes,Yes,No,No
122,tyler herro,122.6,126.8,74,-0.2,0,0.3,0.1,0.4,-0.9,-0.8,-0.8,-0.2,-0.1,Yes,Yes,No,No,No
122,victor oladipo,138.4,140.7,50,-0.2,0,-0.2,-0,0.2,0.2,-0.6,-0.8,-0.6,-0.2,No,Yes,No,No,No
123,blake griffin,134.2,138,68,-0.2,-0.1,-0.2,-0.6,-0,-0.6,-0.6,-0.2,-0.2,0.5,No,No,No,Yes,No
124,aaron gordon,118.6,132.2,73,-0.2,-0,-1.2,-0.2,-0.3,-0.4,0.3,-0.2,0.2,-0.3,No,No,No,Yes,No
124,cameron johnson,138.1,140.3,74,-0.2,-0.9,0.2,-0.7,0.7,-0.6,-0.7,-0.6,-0.7,1.2,No,Yes,Yes,No,No
125,justin holiday,131.1,140,78,-0.2,-0.9,-0.1,-1,0.5,0.2,-0.3,-0.9,-1,1.4,No,Yes,Yes,No,No
125,markelle fultz,140.1,143.3,50,-0.2,0.7,0,-0.2,-0.7,0.1,-0.5,-0.5,-0.7,-0.3,Yes,No,No,No,No
126,andre drummond,92.3,126.8,74,-0.2,-0.9,-2.5,-0.8,-1.6,0.4,0.8,0.8,1.4,0.3,No,No,No,No,Yes
127,isaiah roby,140.1,146.8,72,-0.2,-0.6,-0.3,-0.8,-1,0.3,0.1,0.1,0.3,-0.3,No,No,No,Yes,Yes
128,dennis schroder,110.2,118.3,74,-0.2,0.9,0.8,-0.1,-0.4,-0.1,-0.9,-0.8,-0.9,-0.7,Yes,No,No,No,No
128,patrick beverley,NA,NA,60,-0.2,-0.4,-0.1,-1.1,-0.2,-0.1,-0.2,-0.3,-0.5,0.7,Yes,No,No,No,No
128,terance mann,139.9,142.1,76,-0.2,-0.3,0.4,-0.7,-0.6,-0.8,-0.7,0.1,-0.5,0.9,No,No,Yes,No,No
129,steven adams,115.8,130.1,71,-0.2,-0.7,-2.7,-0.9,-1.6,0.2,0.4,1.3,1.4,0.4,No,No,No,No,Yes
130,trevor ariza,NA,NA,67,-0.3,-0.8,0.1,-1.1,-0.2,0,-0.4,-0.4,-0.5,1,No,No,Yes,No,No
131,jordan poole,136.3,138.8,74,-0.3,-0.4,0.7,-0.1,0.8,-0.9,-0.9,-0.8,-1.4,0.6,Yes,Yes,No,No,No
131,talen horton tucker,138.1,139.1,75,-0.3,0.1,-0.4,-0.7,-0.9,1,-0.5,-0,-1,-0,No,Yes,Yes,No,No
132,eric bledsoe,108,136.6,76,-0.3,0.5,-0.5,-0.3,0.1,0.3,-0.7,-1,-0.8,-0,Yes,Yes,No,No,No
132,kevin huerter,137.3,139.8,75,-0.3,-0.2,-0.1,-0.8,0.2,0.1,-0.8,-0.6,-1.1,0.9,No,Yes,Yes,No,No
132,taj gibson,NA,NA,53,-0.3,-0.9,-0.2,-1.3,-1.1,-0.9,0.5,0.7,-0.1,0.9,No,No,No,Yes,Yes
133,scottie barnes,113.5,136.4,76,-0.3,-0.1,-0.9,-0.8,-0.5,0.9,-0.5,-0.5,-0.3,0.2,No,No,No,No,No
134,alec burks,NA,NA,69,-0.3,-0.5,0.6,-0.5,0.2,-1,-0.7,-0.8,-0.5,0.7,No,Yes,No,No,No
135,coby white,136.5,140.4,63,-0.3,0.2,0.5,-0.2,0.5,-1,-0.9,-1,-0.7,0,Yes,No,No,No,No
136,jalen brunson,140.7,145.9,75,-0.3,0.2,0.2,-0.4,-0.4,-1.3,-1.2,0.7,-1,0.6,Yes,No,No,No,No
136,tyrese maxey,139.7,140,74,-0.3,0.2,0.4,-0.2,-0.8,-0.6,-0.8,-0.3,-1.1,0.6,Yes,Yes,No,No,No
137,kyle kuzma,119.3,128.5,75,-0.3,-0.6,-0.5,-0,0.4,-1.3,-0.2,-0.8,0.4,0,No,No,Yes,Yes,No
138,doug mcdermott,140.3,143.6,74,-0.3,-0.9,0.1,-0.1,0.4,-1.9,-1.2,0.5,-0.7,1.1,No,No,Yes,Yes,No
139,desmond bane,NA,NA,75,-0.3,-0.6,0.1,-0.7,0.5,-0.8,-0.9,-0.2,-0.9,0.8,No,Yes,No,No,No
140,enes kanter,135,139.2,62,-0.3,-1,-0.1,-1.1,-1.4,-1.5,-0.2,1.1,0.5,0.9,No,No,No,No,Yes
141,onyeka okongwu,NA,NA,45,-0.3,-0.9,-0.5,-1,-1,-0.8,0.2,0.7,-0.4,0.9,No,No,No,No,Yes
142,cam reddish,139.3,139.7,68,-0.3,-0.9,0.2,-0.9,-0.3,0.4,-0.5,-0.9,-0.6,0.6,No,Yes,Yes,No,No
142,goran dragic,140,140.4,66,-0.3,0.4,0.3,-0.2,0.2,-0.6,-1,-0.7,-0.9,-0.4,Yes,No,No,No,No
142,hassan whiteside,129,137.8,66,-0.3,-1.1,-1.4,-1.1,-1.5,-1.7,1.5,1.1,0.6,0.7,No,No,No,No,Yes
143,eric gordon,138.3,140.2,60,-0.3,-0.4,0.2,-0.1,0.5,-1,-0.4,-0.7,-1.3,0.3,No,Yes,No,No,No
143,isaac okoro,140,140,77,-0.3,-0.6,-0.6,-0.5,-0.4,0.7,-0.3,-0.7,-0.8,0.3,No,No,Yes,No,No
144,shake milton,NA,NA,72,-0.3,-0,0.3,-0.6,-0.4,-0.7,-0.7,-0.1,-1.2,0.4,Yes,Yes,No,No,No
145,kendrick nunn,139,140.2,69,-0.3,-0.6,0.3,-0.8,-0,-0.5,-0.9,0,-1.3,0.8,No,Yes,No,No,No
146,naz reid,139.4,140.3,76,-0.3,-1.2,-0.9,-0.7,-0.7,-1.3,0.7,0.3,-0.5,1.2,No,No,No,No,Yes
